image_name,ground_truth_count,prediction_count,true_positives,false_positives,false_negatives,mean_matched_iou
crop001501.png,4,5,4,1,0,0.6766
crop001504.png,2,3,2,1,0,0.6997
crop001511.png,1,6,1,5,0,0.6298
crop001512.png,3,5,3,2,0,0.7063
crop001514.png,3,7,3,4,0,0.6314
crop001520.png,2,4,2,2,0,0.616
crop001521.png,6,8,4,4,2,0.5935
crop001522.png,3,3,2,1,1,0.566
crop001531.png,2,4,2,2,0,0.7695
crop001533.png,5,1,1,0,4,0.6032
crop001544.png,2,4,0,4,2,0.0
crop001545.png,1,1,0,1,1,0.0
crop001546.png,2,3,1,2,1,0.6211
crop001549.png,1,1,1,0,0,0.593
crop001555.png,5,1,1,0,4,0.6638
crop001566.png,2,3,0,3,2,0.0
crop001573.png,5,8,5,3,0,0.6151
crop001574.png,1,2,1,1,0,0.5647
crop001590.png,1,3,0,3,1,0.0
crop001593.png,5,4,3,1,2,0.5775
crop001602.png,1,0,0,0,1,0.0
crop001604.png,1,1,1,0,0,0.6211
crop001607.png,10,7,3,4,7,0.6042
crop001631.png,2,2,2,0,0,0.6559
crop001633.png,3,1,1,0,2,0.5973
crop001634.png,1,0,0,0,1,0.0
crop001638.png,4,4,2,2,2,0.6156
crop001639.png,3,5,2,3,1,0.6737
crop001641.png,3,1,0,1,3,0.0
crop001653.png,1,1,1,0,0,0.718
crop001654.png,1,1,1,0,0,0.6788
crop001658.png,3,3,3,0,0,0.6023
crop001659.png,1,1,1,0,0,0.6522
crop001660.png,1,0,0,0,1,0.0
crop001661.png,2,0,0,0,2,0.0
crop001664.png,4,2,2,0,2,0.6963
crop001670.png,5,1,1,0,4,0.8044
crop001676.png,7,2,2,0,5,0.5286
crop001682.png,5,7,5,2,0,0.6834
crop001683.png,2,2,1,1,1,0.6471
crop001684.png,1,1,1,0,0,0.7199
crop001688.png,2,1,0,1,2,0.0
crop001704.png,3,3,1,2,2,0.6565
crop001706.png,1,2,0,2,1,0.0
crop001715.png,2,2,1,1,1,0.5276
crop001716.png,2,3,2,1,0,0.6544
crop001718.png,4,6,4,2,0,0.7266
crop001719.png,7,5,4,1,3,0.6213
crop001722.png,2,0,0,0,2,0.0
crop001723.png,1,1,1,0,0,0.6428
crop001724.png,4,1,1,0,3,0.669
crop001725.png,2,1,1,0,1,0.5947
crop_000001.png,1,0,0,0,1,0.0
crop_000002.png,1,1,1,0,0,0.5668
crop_000003.png,1,1,1,0,0,0.6084
crop_000004.png,1,1,1,0,0,0.6622
crop_000005.png,2,3,2,1,0,0.6975
crop_000006.png,1,0,0,0,1,0.0
crop_000007.png,1,0,0,0,1,0.0
crop_000008.png,1,0,0,0,1,0.0
crop_000009.png,1,0,0,0,1,0.0
crop_000012.png,1,1,1,0,0,0.7312
crop_000013.png,1,0,0,0,1,0.0
crop_000015.png,1,0,0,0,1,0.0
crop_000016.png,1,2,1,1,0,0.6216
crop_000017.png,1,2,0,2,1,0.0
crop_000018.png,1,0,0,0,1,0.0
crop_000019.png,1,2,1,1,0,0.694
crop_000020.png,1,1,1,0,0,0.6053
crop_000021.png,1,1,1,0,0,0.7563
crop_000023.png,1,1,1,0,0,0.7023
crop_000024.png,1,3,1,2,0,0.6661
crop_000025.png,1,1,0,1,1,0.0
crop_000026.png,4,0,0,0,4,0.0
crop_000027.png,2,0,0,0,2,0.0
crop_000604.png,3,4,3,1,0,0.6579
person_007.png,1,2,1,1,0,0.5827
person_008.png,1,1,1,0,0,0.6743
person_009.png,1,0,0,0,1,0.0
person_010.png,2,4,1,3,1,0.7927
person_011.png,1,1,1,0,0,0.7949
person_012.png,1,1,1,0,0,0.5423
person_013.png,1,1,1,0,0,0.8383
person_014.png,2,4,2,2,0,0.7268
person_015.png,1,1,1,0,0,0.815
person_026.png,1,0,0,0,1,0.0
person_028.png,1,0,0,0,1,0.0
person_029.png,1,1,0,1,1,0.0
person_030.png,1,0,0,0,1,0.0
person_032.png,1,2,0,2,1,0.0
person_033.png,1,0,0,0,1,0.0
